Symbol,Company Name,Market Cap,Stock Price,Industry,Volume,Revenue,Employees,Founded
JANX,"Janux Therapeutics, Inc.",3224595033,62.19,Biotechnology,864747,8083000,64,2017
IDYA,"IDEAYA Biosciences, Inc.",3221606614,43.09,Biotechnology,422886,23385000,124,2015
MLCO,Melco Resorts & Entertainment Limited,3221355201,7.37,Resorts & Casinos,3849102,4171174000,20209,
SHC,Sotera Health Company,3195871590,11.29,Diagnostics & Research,737226,1076874000,3000,
BHF,"Brighthouse Financial, Inc.",3190008933,50.73,Insurance - Life,971305,4117000000,1500,2016
CVCO,"Cavco Industries, Inc.",3184485929,381.53,Residential Construction,24096,1851054000,7000,1965
VC,Visteon Corporation,3179956218,115.23,Auto Parts,310224,3920000000,10000,2000
PYCR,"Paycor HCM, Inc.",3176055200,17.84,Software - Application,629745,604654000,2800,1990
WDFC,WD-40 Company,3161686054,233.29,Specialty Chemicals,60205,561690000,613,1953
PRCT,PROCEPT BioRobotics Corporation,3157511460,61.43,Medical Devices,1064067,156326000,626,2009
UCBI,"United Community Banks, Inc.",3142547590,26.39,Banks - Regional,379377,803818000,3121,1950
SMMT,Summit Therapeutics Inc.,3137826444,4.47,Biotechnology,1314711,,105,2003
NWE,NorthWestern Corporation,3134799360,51.15,Utilities - Regulated Electric,195558,1442943000,1530,1923
PGNY,"Progyny, Inc.",3126580560,32.40,Health Information Services,726989,1088598000,566,
ARWR,"Arrowhead Pharmaceuticals, Inc.",3117248520,25.16,Biotechnology,619229,181740000,525,
RIOT,"Riot Blockchain, Inc.",3110214450,10.77,Capital Markets,28166147,286738000,534,2000
SKYW,"SkyWest, Inc.",3099578905,76.99,Airlines,264182,3047215000,13121,1972
IOSP,Innospec Inc.,3093579200,124.40,Specialty Chemicals,57873,1948800000,2400,1938
AZTA,"Azenta, Inc.",3086598285,55.35,Medical Instruments & Supplies,535335,641023000,3500,1978
ACVA,ACV Auctions Inc.,3084482812,18.10,Auto & Truck Dealerships,625639,481234000,2170,2014
QFIN,Qifu Technology Inc.,3082678482,19.59,Credit Services,730722,2297606065,3121,2016
FULT,Fulton Financial Corporation,3081017570,16.99,Banks - Regional,2113057,1027928000,3400,1882
IMCR,Immunocore Holdings plc,3078514930,61.91,Biotechnology,468610,249428000,497,2008
APGE,"Apogee Therapeutics, Inc.",3063623298,54.31,Biotechnology,226047,,9,2022
FOLD,"Amicus Therapeutics, Inc.",3062459840,10.34,Biotechnology,1064298,399356000,517,2002
ARLP,"Alliance Resource Partners, L.P.",3037630640,23.72,Thermal Coal,964410,2566701000,3595,1971
STRA,"Strategic Education, Inc.",3026771700,123.00,Education & Training Services,102499,1166568000,3774,2017
BANF,BancFirst Corporation,3025208340,91.85,Banks - Regional,62190,602406000,2109,
CCOI,"Cogent Communications Holdings, Inc.",3018626710,63.65,Telecom Services,323013,940922000,1947,1999
AMED,"Amedisys, Inc.",3017384946,92.34,Medical Care Facilities,145670,2251407000,19000,1982
LITE,Lumentum Holdings Inc.,2973014000,44.11,Communication Equipment,3276717,1438600000,7500,
SHOO,"Steven Madden, Ltd.",2971083318,40.49,Footwear & Accessories,541909,2070129000,4200,1990
MQ,"Marqeta, Inc.",2962414086,5.74,Software - Infrastructure,4510043,676171000,771,2010
GDRX,"GoodRx Holdings, Inc.",2950633073,7.47,Health Information Services,1036212,750265000,694,
GBDC,"Golub Capital BDC, Inc.",2931225530,17.09,Asset Management,1003258,630983000,850,
PLXS,Plexus Corp.,2926564083,105.99,Electronic Components,136960,3995064000,25000,1979
RELY,"Remitly Global, Inc.",2904864670,15.41,Software - Infrastructure,2031647,1009538000,2700,2011
MGEE,"MGE Energy, Inc.",2904314490,80.30,Utilities - Regulated Electric,103967,690431000,719,1855
PLTK,Playtika Holding Corp.,2902181670,7.83,Electronic Gaming & Multimedia,737315,2567000000,3600,2010
QDEL,QuidelOrtho Corporation,2901936795,43.41,Medical Devices,744862,2997800000,7100,1979
FIBK,"First Interstate BancSystem, Inc.",2886302720,27.77,Banks - Regional,465013,990400000,3585,
DORM,"Dorman Products, Inc.",2882005140,92.89,Auto Parts,122914,1929788000,3872,1978
GOGL,Golden Ocean Group Limited,2880632040,14.43,Marine Shipping,2585978,885767000,38,
OLK,Olink Holding AB (publ),2878533852,23.15,Diagnostics & Research,35636,169597000,707,2004
RPD,"Rapid7, Inc.",2864368439,46.21,Software - Infrastructure,687700,777707000,2228,
TCBI,"Texas Capital Bancshares, Inc.",2861701154,61.34,Banks - Regional,480688,996122000,1987,1996
KTOS,"Kratos Defense & Security Solutions, Inc.",2835607640,19.01,Aerospace & Defense,902533,1037100000,3900,1994
SBLK,Star Bulk Carriers Corp.,2835125000,25.00,Marine Shipping,1720198,949269000,216,
ICFI,"ICF International, Inc.",2829413966,151.01,Consulting Services,70232,1974392000,9000,1969
CERT,"Certara, Inc.",2819842200,17.64,Health Information Services,476509,354337000,1391,2008
CRDO,Credo Technology Group Holding Ltd,2816763195,17.25,Communication Equipment,1418348,164276000,438,2008
FHB,"First Hawaiian, Inc.",2812810920,22.04,Banks - Regional,558620,810312000,2000,1858
TNDM,"Tandem Diabetes Care, Inc.",2809643250,43.50,Medical Devices,1336783,770009000,2400,2006
ACAD,ACADIA Pharmaceuticals Inc.,2808451000,17.00,Biotechnology,1354922,726437000,598,1993
MLTX,MoonLake Immunotherapeutics,2799177192,44.52,Biotechnology,135711,,50,2021
FTDR,"Frontdoor, Inc.",2796561285,35.95,Personal Services,1059494,1791000000,1716,1971
CALM,"Cal-Maine Foods, Inc.",2791261288,56.92,Farm Products,588359,2374334000,2976,1957
WSFS,WSFS Financial Corporation,2789758400,46.28,Banks - Regional,271823,926903000,2229,1980
ACLX,"Arcellx, Inc.",2780797975,52.67,Biotechnology,255830,110319000,130,2015
PSNY,Polestar Automotive Holding UK PLC,2775692167,1.30,Auto Manufacturers,2384031,2829597000,2377,2017
ARCB,ArcBest Corporation,2773213362,117.99,Trucking,324736,4357768000,15000,1923
SRAD,Sportradar Group AG,2772899858,9.30,Software - Application,495707,975134444,4383,2001
ROAD,"Construction Partners, Inc.",2750192518,52.06,Engineering & Construction,279995,1618274000,4014,2001
CLDX,"Celldex Therapeutics, Inc.",2745172325,41.65,Biotechnology,547114,6883000,160,
MRUS,Merus N.V.,2739958722,47.34,Biotechnology,518098,43947000,229,2003
MOR,MorphoSys AG,2708702463,17.98,Biotechnology,558281,264753681,524,1992
MGRC,McGrath RentCorp,2699129565,109.95,Rental & Leasing Services,58132,855951000,1204,1979
NMIH,"NMI Holdings, Inc.",2681994432,33.41,Insurance - Specialty,385204,598477000,238,2011
CATY,Cathay General Bancorp,2678605142,36.86,Banks - Regional,227959,784060000,1246,1962
JAMF,Jamf Holding Corp.,2678309710,20.87,Software - Application,353882,560571000,2767,2002
HUBG,"Hub Group, Inc.",2672495532,42.93,Integrated Freight & Logistics,267778,4049813000,5950,1971
JJSF,J&J Snack Foods Corp.,2672474420,137.90,Packaged Foods,81703,1555794000,5000,1971
RUM,Rumble Inc.,2666577948,6.88,Software - Application,792740,80963451,158,2013
RUN,Sunrun Inc.,2657715390,11.99,Solar,6268893,2259813000,10833,2007
IDCC,"InterDigital, Inc.",2657298150,105.30,Software - Application,499271,610757000,450,1972
LFST,"LifeStance Health Group, Inc.",2641271490,6.91,Medical Care Facilities,844317,1055665000,9325,2015
RYTM,"Rhythm Pharmaceuticals, Inc.",2638965140,43.88,Biotechnology,966514,77428000,226,2008
ALKT,"Alkami Technology, Inc.",2634868810,27.02,Software - Application,821756,280962000,917,2007
KLIC,"Kulicke and Soffa Industries, Inc.",2633971113,47.49,Semiconductor Equipment & Materials,391161,736500000,3025,1951
NEOG,Neogen Corporation,2629621120,12.14,Diagnostics & Research,1572895,929238000,2640,1981
GLNG,Golar LNG Limited,2628814380,25.14,Oil & Gas Midstream,902481,298429000,470,1946
SIMO,Silicon Motion Technology Corporation,2625143670,78.58,Semiconductors,991906,639142000,1546,1995
ATAT,Atour Lifestyle Holdings Limited,2614309484,19.00,Lodging,740211,658105360,4248,2013
SMTC,Semtech Corporation,2563804632,39.71,Semiconductors,1048622,868758000,1917,1960
PRFT,"Perficient, Inc.",2561198904,73.26,Information Technology Services,11627240,906541000,6547,1997
GO,Grocery Outlet Holding Corp.,2561061775,25.81,Grocery Stores,760907,3969453000,997,1946
AY,Atlantica Sustainable Infrastructure plc,2556659590,22.01,Utilities - Renewable,1668979,1099894000,1366,2013
MYRG,MYR Group Inc.,2555397510,152.42,Engineering & Construction,156464,3647851000,9000,1891
TWST,Twist Bioscience Corporation,2552760957,44.67,Diagnostics & Research,2084938,277486000,919,2013
TGTX,"TG Therapeutics, Inc.",2551504930,16.51,Biotechnology,3555878,233662000,264,
PSMT,"PriceSmart, Inc.",2537083612,83.14,Discount Stores,86670,4673272000,11000,1994
PATK,"Patrick Industries, Inc.",2533228714,113.18,"Furnishings, Fixtures & Appliances",145328,3468045000,10000,1959
ZD,"Ziff Davis, Inc.",2532550355,54.97,Advertising Agencies,378642,1364028000,4200,1995
PTCT,"PTC Therapeutics, Inc.",2524999680,32.96,Biotechnology,460567,927558000,995,1998
AVDX,"AvidXchange Holdings, Inc.",2506078653,12.14,Software - Infrastructure,1098833,380720000,1600,2000
VERA,"Vera Therapeutics, Inc.",2500911072,45.54,Biotechnology,589162,,51,2016
CORT,Corcept Therapeutics Incorporated,2495564640,23.97,Biotechnology,1210378,523529000,352,1998
PINC,"Premier, Inc.",2482628960,20.72,Health Information Services,1734069,1316093000,2800,
STEP,StepStone Group Inc.,2478930922,37.78,Asset Management,217385,527195000,956,2007
CARG,"CarGurus, Inc.",2471100496,23.00,Auto & Truck Dealerships,451052,914242000,1343,2005
INDV,Indivior PLC,2456128000,18.15,Drug Manufacturers - Specialty & Generic,40202,1124000000,1164,1994
ICUI,"ICU Medical, Inc.",2453809221,100.71,Medical Instruments & Supplies,290735,2259126000,14000,1984
FLYW,Flywire Corporation,2446462620,20.01,Software - Infrastructure,2428185,403094000,1200,2009
DNLI,Denali Therapeutics Inc.,2443135600,17.14,Biotechnology,597116,330531000,445,
PTVE,Pactiv Evergreen Inc.,2434634910,13.59,Packaging & Containers,727858,5331000000,15000,
NARI,"Inari Medical, Inc.",2432502288,41.84,Medical Devices,877472,520659000,1300,2011
SNEX,StoneX Group Inc.,2420200500,76.71,Capital Markets,119775,67417500000,4000,1924
CVBF,CVB Financial Corp.,2406988980,17.27,Banks - Regional,473510,545320000,1107,1974
FA,First Advantage Corporation,2405897720,16.57,Specialty Business Services,536182,763761000,5000,2003
LAUR,"Laureate Education, Inc.",2403428400,15.49,Education & Training Services,702977,1508405000,28900,1989
EBC,"Eastern Bankshares, Inc.",2396760795,13.59,Banks - Regional,652693,641941000,1744,1818
BATRK,Atlanta Braves Holdings Inc,2389817216,38.74,Entertainment,123562,640667000,1240,1991
APPN,Appian Corporation,2381628668,32.97,Software - Infrastructure,518535,559963000,2243,1999
CENTA,Central Garden & Pet Company,2375409087,35.94,Packaged Foods,159123,3316953000,6700,1955
WB,Weibo Corporation,2375212484,9.96,Internet Content & Information,3161390,1759836000,5268,2009
BATRA,Atlanta Braves Holdings Inc,2375142486,41.46,Entertainment,16456,640667000,1240,1991
RNW,ReNew Energy Global Plc,2372519422,6.36,Utilities - Renewable,439463,1182798413,2481,2011
CENT,Central Garden & Pet Company,2370826283,41.64,Packaged Foods,101043,3316953000,6700,1955
INTA,"Intapp, Inc.",2365549857,32.23,Software - Application,511977,392151000,1150,2000
WAFD,WaFd Inc,2356585920,28.80,Banks - Regional,231785,647395000,2120,1917
KYMR,"Kymera Therapeutics, Inc.",2350022890,38.30,Biotechnology,413737,79413000,187,2015
PENN,"PENN Entertainment, Inc.",2349192860,15.41,Resorts & Casinos,4872770,6296500000,23333,1972
WERN,"Werner Enterprises, Inc.",2344533778,36.94,Trucking,847785,3283499000,13809,1956
HELE,Helen of Troy Limited,2343769680,98.70,Household & Personal Products,418657,2005050000,1927,1968
CGON,"CG Oncology, Inc.",2338934130,35.10,Biotechnology,1439423,204000,61,2010
RXST,"RxSight, Inc.",2335982740,62.84,Medical Devices,586332,89077000,374,1997
GH,"Guardant Health, Inc.",2324718300,19.10,Diagnostics & Research,1024377,563948000,1779,
PDCO,"Patterson Companies, Inc.",2307889920,25.76,Medical Distribution,833767,6566764000,7600,1877
LGIH,"LGI Homes, Inc.",2302299306,97.69,Residential Construction,233010,2262074000,1089,2003
CLBT,Cellebrite DI Ltd.,2299326400,11.20,Software - Infrastructure,585083,325110000,1008,1999
NTLA,"Intellia Therapeutics, Inc.",2287523592,23.72,Biotechnology,1242743,36275000,526,2014
LZ,"LegalZoom.com, Inc.",2275955800,12.05,Specialty Business Services,1279163,660727000,1190,2001
VCEL,Vericel Corporation,2270980670,46.94,Biotechnology,490976,197516000,314,1989
PRVA,"Privia Health Group, Inc.",2262296520,19.08,Health Information Services,1001905,1657737000,1102,2007
STAA,STAAR Surgical Company,2259047978,45.98,Medical Instruments & Supplies,422496,322415000,1115,1982
OSIS,"OSI Systems, Inc.",2256224958,132.34,Electronic Components,103268,1469721000,6423,1987
SFNC,Simmons First National Corporation,2250890880,17.96,Banks - Regional,267236,763664000,3007,1903
PPBI,"Pacific Premier Bancorp, Inc.",2232389225,23.15,Banks - Regional,472028,421261000,1345,1983
UPST,"Upstart Holdings, Inc.",2225580225,25.75,Credit Services,6300551,513562000,1388,2012
FFBC,First Financial Bancorp.,2221886391,23.37,Banks - Regional,268525,797085000,2165,1863
ROCK,"Gibraltar Industries, Inc.",2216975372,72.76,Building Products & Equipment,131687,1376975000,2110,
SONO,"Sonos, Inc.",2214312840,17.88,Consumer Electronics,2511077,1595545000,1867,2002
SANA,"Sana Biotechnology, Inc.",2213230000,10.00,Biotechnology,1717807,,328,2018
GERN,Geron Corporation,2212386090,3.72,Biotechnology,6674724,520000,141,1990
PRGS,Progress Software Corporation,2212334539,51.19,Software - Infrastructure,164207,714898000,2284,1981
VSAT,"Viasat, Inc.",2210644800,17.64,Communication Equipment,826150,3799844000,6800,1986
SITM,SiTime Corporation,2210301760,96.64,Semiconductors,184969,143993000,382,
ARVN,"Arvinas, Inc.",2203628984,32.26,Biotechnology,447882,78500000,445,2015
EGIO,"Edgio, Inc.",2201611600,9.40,Software - Infrastructure,51413,379920000,822,2001
INTR,"Inter & Co, Inc.",2191938394,5.45,Banks - Regional,435195,975888296,3270,1994
INDB,Independent Bank Corp.,2181832417,51.50,Banks - Regional,206860,707880000,1787,1907
PSEC,Prospect Capital Corporation,2179842000,5.25,Asset Management,1423121,883810000,,
AGYS,"Agilysys, Inc.",2175687787,79.51,Software - Application,117364,228138000,1600,1963
BLMN,"Bloomin' Brands, Inc.",2173282176,24.96,Restaurants,1757449,4671470000,87000,
DNUT,"Krispy Kreme, Inc.",2172856000,12.88,Grocery Stores,1750890,1686104000,22800,1937
KROS,"Keros Therapeutics, Inc.",2168311476,60.26,Biotechnology,248541,151000,136,2015
PLAY,"Dave & Buster's Entertainment, Inc.",2166098125,53.75,Entertainment,1198687,2205300000,23258,1982
PLUS,ePlus inc.,2149383726,79.74,Software - Application,144779,2163018000,1754,1990
ARDX,"Ardelyx, Inc.",2140889550,9.15,Biotechnology,11010288,159110000,267,2007
DYN,"Dyne Therapeutics, Inc.",2129035125,26.25,Biotechnology,639833,,123,1984
CMPR,Cimpress plc,2122605060,83.40,Advertising Agencies,119968,3248091000,16000,
BENF,Beneficient,2113239558,6.00,Asset Management,9408319,-160642000,150,2003
GTX,Garrett Motion Inc.,2113006500,9.35,Auto Parts,737396,3831000000,7600,
VECO,Veeco Instruments Inc.,2111159374,37.49,Semiconductor Equipment & Materials,307031,666435000,1215,1945
RCKT,"Rocket Pharmaceuticals, Inc.",2105386080,23.20,Biotechnology,397940,,268,
RNA,"Avidity Biosciences, Inc.",2099014435,26.33,Biotechnology,539508,9560000,253,2012
SBCF,Seacoast Banking Corporation of Florida,2096862444,24.69,Banks - Regional,477566,529874000,1541,1926
DCPH,"Deciphera Pharmaceuticals, Inc.",2086073620,25.37,Drug Manufacturers - Specialty & Generic,1176376,163356000,355,2003
AMPH,"Amphastar Pharmaceuticals, Inc.",2085596612,42.68,Drug Manufacturers - Specialty & Generic,200357,644395000,1761,1996
ARRY,"Array Technologies, Inc.",2084715240,13.74,Solar,3876624,1576551000,1082,1989
PLMR,"Palomar Holdings, Inc.",2073817571,83.39,Insurance - Property & Casualty,189488,405260000,213,
RXRX,"Recursion Pharmaceuticals, Inc.",2057156580,8.94,Biotechnology,3266708,44575000,500,2013
USLM,"United States Lime & Minerals, Inc.",2056721288,360.25,Building Materials,39692,286240000,333,1948
YY,JOYY Inc.,2055500878,33.77,Internet Content & Information,150782,2267870000,6292,2005
AMRX,"Amneal Pharmaceuticals, Inc.",2051883994,6.65,Drug Manufacturers - Specialty & Generic,1550263,2393607000,7700,2002
FRME,First Merchants Corporation,2049320790,34.98,Banks - Regional,138739,630087000,2162,1893
ENLT,Enlight Renewable Energy Ltd,2036524660,17.26,Utilities - Renewable,7186,255702000,287,2008
VIRT,"Virtu Financial, Inc.",2035984104,22.77,Capital Markets,718344,2315834000,975,2008
CRTO,Criteo S.A.,2030867688,37.22,Advertising Agencies,437840,1954484000,3563,2005
MBIN,Merchants Bancorp,2029204779,46.83,Banks - Regional,218514,522508000,618,1990
JBLU,JetBlue Airways Corporation,2017000550,5.93,Airlines,11959166,9497000000,23388,1998
RKLB,"Rocket Lab USA, Inc.",2000297040,4.06,Aerospace & Defense,7758068,244592000,1400,2006
TOWN,TowneBank,1997736521,27.47,Banks - Regional,232317,770516000,2766,1998
NEO,"NeoGenomics, Inc.",1980813120,15.51,Diagnostics & Research,531002,610663000,2100,2001
DRVN,Driven Brands Holdings Inc.,1967664000,12.00,Auto & Truck Dealerships,1871966,2304029000,10600,1972
VRNT,Verint Systems Inc.,1966731045,31.53,Software - Infrastructure,356639,910387000,3700,1994
HLMN,Hillman Solutions Corp.,1962120160,10.01,Tools & Accessories,503277,1476477000,3801,1964
UFPT,"UFP Technologies, Inc.",1960065801,256.49,Medical Devices,68946,400072000,3093,1963
AMBA,"Ambarella, Inc.",1958812404,47.82,Semiconductor Equipment & Materials,367416,226474000,915,2004
BTSG,"BrightSpring Health Services, Inc.",1953277900,11.41,Health Information Services,526506,9374435000,35000,1974
NAMS,NewAmsterdam Pharma Company N.V.,1951370062,21.86,Biotechnology,75936,15655556,29,2019
GLPG,Galapagos NV,1941987508,29.47,Biotechnology,68626,,1123,1999
PAYO,Payoneer Global Inc.,1938102400,5.20,Software - Infrastructure,4344885,831103000,2167,2005
POWL,"Powell Industries, Inc.",1936988724,161.58,Electrical Equipment & Parts,295533,850131000,2363,1947
PAX,Patria Investments Limited,1921714125,12.80,Asset Management,470319,327617000,430,1988
MLKN,"MillerKnoll, Inc.",1920636228,26.81,"Furnishings, Fixtures & Appliances",439486,3696200000,10900,1905
UCTT,"Ultra Clean Holdings, Inc.",1918301472,42.96,Semiconductor Equipment & Materials,194458,1734500000,6657,1991
ODP,The ODP Corporation,1914189732,52.26,Specialty Retail,215110,7831000000,20000,1986
ANDE,"The Andersons, Inc.",1912201596,56.52,Food Distribution,123803,14750112000,2334,1947
SNDX,"Syndax Pharmaceuticals, Inc.",1911723750,22.50,Biotechnology,439770,,184,2005
PZZA,"Papa John's International, Inc.",1910649601,58.31,Restaurants,892835,2135713000,13200,1984
ARHS,"Arhaus, Inc.",1910257627,13.61,Home Improvement Retail,806883,1287704000,2290,1986
EWTX,"Edgewise Therapeutics, Inc.",1899969570,20.34,Biotechnology,587262,,88,2017
AVDL,Avadel Pharmaceuticals plc,1886398084,18.62,Drug Manufacturers - Specialty & Generic,635481,27963000,154,
TRMK,Trustmark Corporation,1878788664,30.71,Banks - Regional,146922,735255000,2757,1889
HTLF,"Heartland Financial USA, Inc.",1866953878,43.63,Banks - Regional,573458,558604000,1970,1981
FOXF,Fox Factory Holding Corp.,1860745278,44.31,Auto Parts,736183,1397799000,4300,
BEAM,Beam Therapeutics Inc.,1860162406,22.78,Biotechnology,886498,377709000,507,2017
ATEC,"Alphatec Holdings, Inc.",1856623680,13.28,Medical Devices,1047352,482262000,839,1990
PLUG,Plug Power Inc.,1854331050,2.71,Electrical Equipment & Parts,28528423,891340000,3868,1997
EXPI,"eXp World Holdings, Inc.",1853518590,11.97,Real Estate Services,826703,4373543000,2114,2008
BRP,The Baldwin Insurance Group Inc.,1853068522,28.10,Insurance Brokers,168606,1218555000,3800,2011
GPCR,Structure Therapeutics Inc.,1851806149,39.74,Biotechnology,633536,,93,2016
HPK,"HighPeak Energy, Inc.",1846693966,14.38,Oil & Gas Exploration & Production,229595,1111293000,48,2019
AGIO,"Agios Pharmaceuticals, Inc.",1846394176,33.22,Biotechnology,659778,29403000,386,
EVO,Evotec SE,1843837684,5.20,Drug Manufacturers - Specialty & Generic,67489,,4952,1993
PLAB,"Photronics, Inc.",1839157911,29.03,Semiconductor Equipment & Materials,229161,897319000,1885,1969
ASTH,"Astrana Health, Inc.",1838758376,38.32,Medical Care Facilities,103371,1386661000,1800,1994
ODD,Oddity Tech Ltd.,1837925626,32.31,Software - Infrastructure,1283030,508685000,342,2018
GCMG,GCM Grosvenor Inc,1831129234,9.78,Asset Management,82224,444999000,538,1971
FUSN,Fusion Pharmaceuticals Inc.,1819963152,21.42,Biotechnology,255114,2068000,101,2014
EVCM,EverCommerce Inc.,1815459750,9.75,Software - Infrastructure,241375,675369000,2100,2006
IART,Integra LifeSciences Holdings Corporation,1810006172,23.14,Medical Devices,6112189,1541573000,3946,1989
MYGN,"Myriad Genetics, Inc.",1794801753,19.97,Diagnostics & Research,579645,753200000,2700,1991
TTMI,"TTM Technologies, Inc.",1782080250,17.51,Electronic Components,959363,2232567000,15800,1978
HEES,"H&E Equipment Services, Inc.",1775957326,48.62,Rental & Leasing Services,329605,1518091000,2765,1961
SGML,Sigma Lithium Corporation,1769520000,16.16,Other Industrial Metals & Mining,829750,136263910,196,2011
CPRX,"Catalyst Pharmaceuticals, Inc.",1766766370,14.99,Biotechnology,769355,398204000,167,2002
CAKE,The Cheesecake Factory Incorporated,1765174212,34.63,Restaurants,1276703,3439503000,47900,1972
NAVI,Navient Corporation,1762362000,15.76,Credit Services,777613,1088000000,4500,1973
NBTB,NBT Bancorp Inc.,1755001162,37.22,Banks - Regional,156913,495123000,2034,1856
HRMY,"Harmony Biosciences Holdings, Inc.",1754869710,30.90,Biotechnology,314809,617511000,246,2017
SDGR,"Schrödinger, Inc.",1747939257,24.05,Health Information Services,700196,188482000,867,1990
NMRK,"Newmark Group, Inc.",1743961657,10.10,Real Estate Services,989570,2470368000,7000,1929
SPNS,Sapiens International Corporation N.V.,1735843248,31.14,Software - Application,84672,514584000,5000,1982
MRCY,"Mercury Systems, Inc.",1732299880,29.18,Aerospace & Defense,572118,895169000,2596,1981
MGPI,"MGP Ingredients, Inc.",1730150991,78.59,Beverages - Wineries & Distilleries,133874,806076000,705,1941
ACMR,"ACM Research, Inc.",1720738345,27.75,Semiconductor Equipment & Materials,1027536,557723000,1590,1998
UPBD,"Upbound Group, Inc.",1713177984,31.36,Software - Application,370734,4072319000,12970,1986
TFIN,"Triumph Financial, Inc.",1703899794,73.02,Banks - Regional,94680,399396000,1468,1981
IBTX,"Independent Bank Group, Inc.",1692421550,40.90,Banks - Regional,222409,482377000,1517,2002
TBBK,"The Bancorp, Inc.",1687249370,32.29,Banks - Regional,469757,447816000,757,1999
LILAK,Liberty Latin America Ltd.,1686549760,8.13,Telecom Services,531998,4511100000,10600,2017
NEXT,NextDecade Corporation,1684113120,6.53,Oil & Gas Exploration & Production,828832,,147,
NWLI,"National Western Life Group, Inc.",1682962596,489.80,Insurance - Life,15604,703350000,278,1956
LILA,Liberty Latin America Ltd.,1682323405,8.14,Telecom Services,236077,4511100000,10600,2017
WSBC,"WesBanco, Inc.",1681082328,28.29,Banks - Regional,107771,576226000,2321,1870
GCT,GigaCloud Technology Inc.,1675386663,41.11,Software - Infrastructure,3546605,703831000,1362,2019
LMAT,"LeMaitre Vascular, Inc.",1675290000,75.00,Medical Instruments & Supplies,520389,193484000,630,1983
AFYA,Afya Limited,1674826901,17.87,Education & Training Services,65146,590536550,9680,1999
UPWK,Upwork Inc.,1674523290,12.63,Internet Content & Information,2469354,719215000,800,
XRX,Xerox Holdings Corporation,1674189040,13.48,Information Technology Services,1380101,6673000000,20100,1906
MXL,"MaxLinear, Inc.",1673366640,20.13,Semiconductors,387387,540090000,1759,2003
NVCR,NovoCure Limited,1673351050,15.55,Medical Devices,1153764,525659000,1453,2000
SUPN,"Supernus Pharmaceuticals, Inc.",1672302996,30.42,Drug Manufacturers - Specialty & Generic,327398,607521000,652,2005
ZLAB,Zai Lab Limited,1669312587,16.91,Biotechnology,567858,266719000,2175,2013
NSSC,"Napco Security Technologies, Inc.",1666224600,45.30,Security & Protection Services,765251,177413000,1150,1969
ENVX,Enovix Corporation,1661622000,9.78,Electrical Equipment & Parts,10562948,7644000,560,2006
TLRY,"Tilray Brands, Inc.",1652623900,2.05,Drug Manufacturers - Specialty & Generic,32020288,743248000,1600,
CLBK,"Columbia Financial, Inc.",1652322240,15.74,Banks - Regional,66981,228468000,774,1927
HWKN,"Hawkins, Inc.",1644920792,78.53,Specialty Chemicals,93076,924287000,851,1938
VIAV,Viavi Solutions Inc.,1639198590,7.37,Communication Equipment,1323137,1012000000,3600,1923
CNXN,"PC Connection, Inc.",1636376238,62.07,Electronics & Computer Distribution,72008,2755124000,2703,1982
NWTN,NWTN Inc.,1631257521,5.70,Auto Manufacturers,53244,583000,103,2016
INBX,"Inhibrx, Inc.",1625559320,34.30,Biotechnology,272417,1800000,172,2010
OPEN,Opendoor Technologies Inc.,1625203600,2.35,Real Estate Services,27359943,5007000000,1982,2014
THRM,Gentherm Incorporated,1615472145,51.05,Auto Parts,113423,1461466000,14504,
DSGR,"Distribution Solutions Group, Inc.",1613967424,34.48,Industrial Distribution,60884,1638218000,3700,1952
CENX,Century Aluminum Company,1612908660,17.40,Aluminum,1043049,2122500000,2939,1995
UDMY,"Udemy, Inc.",1610923547,10.19,Education & Training Services,1398096,728937000,1443,2009
SOUN,"SoundHound AI, Inc.",1610487832,5.21,Software - Application,56644531,45873000,260,2005
ADUS,Addus HomeCare Corporation,1602488667,97.89,Medical Care Facilities,117649,1058651000,34846,1979
ADMA,"ADMA Biologics, Inc.",1601544520,6.91,Biotechnology,2164606,258215000,624,2004
KURA,"Kura Oncology, Inc.",1600554406,21.01,Biotechnology,762080,,142,2014
SPT,"Sprout Social, Inc.",1598882593,28.28,Software - Application,3145173,355215000,1383,2010
PRDO,Perdoceo Education Corporation,1598079312,24.36,Education & Training Services,744464,682670000,4350,
GDS,GDS Holdings Limited,1592837963,8.43,Information Technology Services,829642,1404301975,2345,2001
BANR,Banner Corporation,1591670069,46.31,Banks - Regional,87304,609625000,1928,1890
IAS,Integral Ad Science Holding Corp.,1590414400,9.97,Advertising Agencies,1101902,474369000,880,2009
ROIC,Retail Opportunity Investments Corp.,1581704140,12.41,REIT - Retail,431995,333766000,71,
CHCO,City Holding Company,1581677516,106.43,Banks - Regional,41969,286627000,973,1957
INMD,InMode Ltd.,1578146215,18.65,Medical Devices,1539390,466258000,581,2008
LKFN,Lakeland Financial Corporation,1577385290,61.85,Banks - Regional,63085,242068000,655,1872
HTZ,"Hertz Global Holdings, Inc.",1574934895,5.15,Rental & Leasing Services,9694617,9404000000,27000,1918
KALU,Kaiser Aluminum Corporation,1571367952,97.79,Aluminum,156662,3016900000,4000,1946
VCYT,"Veracyte, Inc.",1570418376,20.92,Diagnostics & Research,507110,361051000,815,
HURN,Huron Consulting Group Inc.,1565244194,86.93,Consulting Services,115351,1435755000,6480,2002
